Chromosome	m1A peak middle position	RefSeq ID	Segment	Cell
chr1	9748281	NR_040462	ncRNA	Liver
chr1	13660402	NM_145381	CDS	Liver
chr1	15805765	NM_009352	CDS	Liver
chr1	16619329	NR_073122	ncRNA	Liver
chr1	21079136	NM_177409	5UTR	Liver
chr1	30804003	NM_001081080	CDS	Liver
chr1	30949663	NM_011200	5UTR	Liver
chr1	33814464	NM_133817	5UTR	Liver
chr1	36068579	NM_015818	5UTR	Liver
chr1	36104497	NM_015818	3UTR	Liver
chr1	36367969	NM_172652	CDS	Liver
chr1	36445158	NM_001013374	CDS	Liver
chr1	36512024	NM_053186	CDS	Liver
chr1	36691646	NM_009942	CDS	Liver
chr1	37300018	NM_030266	5UTR	Liver
chr1	37429939	NM_198006	CDS	Liver
chr1	37998239	NM_198303	5UTR	Liver
chr1	39577244	NM_001033135	CDS	Liver
chr1	39999946	NM_008696	CDS	Liver
chr1	45911472	NM_016917	CDS	Liver
chr1	54926267	NM_001081433	5UTR	Liver
chr1	55086893	NM_010477	CDS	Liver
chr1	60236444	NM_173444	CDS	Liver
chr1	60566633	NM_001045513	5UTR	Liver
chr1	63058297	NM_001081436	CDS	Liver
chr1	71590183	NM_001276409	CDS	Liver
chr1	71598432	NM_001276409	CDS	Liver
chr1	71609588	NM_001276409	CDS	Liver
chr1	71610986	NM_001276409	CDS	Liver
chr1	71612549	NM_001276409	CDS	Liver
chr1	71640400	NM_001276409	CDS	Liver
chr1	74855610	NM_009872	CDS	Liver
chr1	75180258	NM_023732	5UTR	Liver
chr1	75211005	NM_011494	5UTR	Liver
chr1	75450722	NM_183022	5UTR	Liver
chr1	75525477	NM_027886	CDS	Liver
chr1	78196852	NM_001159520	5UTR	Liver
chr1	79776238	NM_001081210	CDS	Liver
chr1	86046068	NM_001144993	CDS	Liver
chr1	86350864	NM_010880	CDS	Liver
chr1	86526858	NM_008972	5UTR	Liver
chr1	86529742	NM_008972	CDS	Liver
chr1	86582435	NM_008801	5UTR	Liver
chr1	87374054	NM_001110212	CDS	Liver
chr1	88218246	NM_201644	CDS	Liver
chr1	88218792	NM_201644	3UTR	Liver
chr1	89894377	NM_001037136	3UTR	Liver
chr1	91320722	NM_016717	3UTR	Liver
chr1	91413139	NM_019479	5UTR	Liver
chr1	92911287	NM_181405	CDS	Liver
chr1	93135437	NM_016702	CDS	Liver
chr1	93442228	NM_133808	5UTR	Liver
chr1	106172917	NM_133821	CDS	Liver
chr1	118300854	NM_011650	CDS	Liver
chr1	119483620	NM_022327	5UTR	Liver
chr1	128244435	NM_026390	5UTR	Liver
chr1	130661539	NM_007576	5UTR	Liver
chr1	131840946	NM_173865	CDS	Liver
chr1	131976834	NM_001177628	5UTR	Liver
chr1	133272563	NM_182930	CDS	Liver
chr1	133274223	NM_182930	CDS	Liver
chr1	133363929	NM_175443	CDS	Liver
chr1	134406021	NM_028057	5UTR	Liver
chr1	134560334	NM_152895	5UTR	Liver
chr1	135585230	NM_173437	CDS	Liver
chr1	136324817	NM_001081360	CDS	Liver
chr1	143702660	NM_145991	5UTR	Liver
chr1	151344625	NM_001039511	5UTR	Liver
chr1	152766739	NM_026369	CDS	Liver
chr1	155417305	NM_011273	5UTR	Liver
chr1	155812741	NM_023268	CDS	Liver
chr1	156559036	NM_009595	5UTR	Liver
chr1	156674298	NM_023141	CDS	Liver
chr1	157458620	NM_001033284	CDS	Liver
chr1	160740893	NM_013862	5UTR	Liver
chr1	160906557	NM_001024952	5UTR	Liver
chr1	160993525	NM_080844	CDS	Liver
chr1	162697619	NM_001081290	CDS	Liver
chr1	162740405	NM_001081290	5UTR	Liver
chr1	163930136	NM_028776	5UTR	Liver
chr1	165461351	NM_027430	5UTR	Liver
chr1	167284949	NM_030724	5UTR	Liver
chr1	169655581	NM_009063	CDS	Liver
chr1	171225364	NR_131173	ncRNA	Liver
chr1	171225744	NM_001305549	CDS	Liver
chr1	171294710	NM_025388	CDS	Liver
chr1	171345750	NM_011070	CDS	Liver
chr1	172081285	NM_021607	CDS	Liver
chr1	172082890	NM_009938	5UTR	Liver
chr1	172186897	NM_153555	CDS	Liver
chr1	172562110	NR_027644	ncRNA	Liver
chr1	172698136	NM_007768	CDS	Liver
chr1	173729165	NM_001204910	CDS	Liver
chr1	175692473	NM_010098	CDS	Liver
chr1	178337206	NM_016805	CDS	Liver
chr1	178337630	NM_016805	5UTR	Liver
chr1	179803499	NM_026375	5UTR	Liver
chr1	180851237	NM_145943	CDS	Liver
chr1	182282685	NM_007853	CDS	Liver
chr1	184811063	NM_001290273	CDS	Liver
chr1	184872447	NM_178692	3UTR	Liver
chr1	184873987	NM_178692	3UTR	Liver
chr1	184882867	NM_178692	CDS	Liver
chr1	185246747	NM_001163754	CDS	Liver
chr1	190160886	NM_008937	CDS	Liver
chr1	190170454	NM_008937	5UTR	Liver
chr1	191396875	NM_144880	5UTR	Liver
chr1	191718548	NM_001134829	CDS	Liver
chr1	195114781	NM_013499	CDS	Liver
chr2	4717930	NM_178663	5UTR	Liver
chr2	4919113	NM_010726	CDS	Liver
chr2	6322877	NM_001080548	5UTR	Liver
chr2	15055401	NM_029466	5UTR	Liver
chr2	18064756	NM_001252561	5UTR	Liver
chr2	18998027	NM_008845	5UTR	Liver
chr2	23040101	NM_007380	5UTR	Liver
chr2	25211267	NM_021393	5UTR	Liver
chr2	25223270	NM_146116	CDS	Liver
chr2	25557970	NM_021519	CDS	Liver
chr2	26351933	NM_001139504	CDS	Liver
chr2	26459653	NM_008714	CDS	Liver
chr2	26604147	NM_026212	CDS	Liver
chr2	27234382	NM_138665	CDS	Liver
chr2	27235539	NM_138665	CDS	Liver
chr2	27737419	NM_011305	CDS	Liver
chr2	27759683	NM_011305	CDS	Liver
chr2	27760960	NM_011305	3UTR	Liver
chr2	29619866	NM_001039086	5UTR	Liver
chr2	29802792	NM_011989	5UTR	Liver
chr2	30359225	NM_001289709	5UTR	Liver
chr2	31141860	NM_019406	5UTR	Liver
chr2	31572883	NM_001033389	CDS	Liver
chr2	31994773	NM_172268	CDS	Liver
chr2	32051074	NM_172268	CDS	Liver
chr2	32287965	NR_110965	ncRNA	Liver
chr2	32387681	NM_008491	CDS	Liver
chr2	32416115	NM_146118	3UTR	Liver
chr2	32646822	NM_007932	5UTR	Liver
chr2	32683295	NM_010236	CDS	Liver
chr2	32712652	NM_130860	CDS	Liver
chr2	32876256	NM_146119	5UTR	Liver
chr2	34406981	NM_177345	5UTR	Liver
chr2	34772291	NM_022310	5UTR	Liver
chr2	35032176	NM_010406	CDS	Liver
chr2	35200886	NM_026697	5UTR	Liver
chr2	36049248	NM_026703	5UTR	Liver
chr2	39065484	NR_110968	ncRNA	Liver
chr2	45001757	NM_015753	CDS	Liver
chr2	52424748	NM_182994	5UTR	Liver
chr2	59160997	NM_175464	5UTR	Liver
chr2	59913700	NM_001001182	CDS	Liver
chr2	59920446	NM_001001182	CDS	Liver
chr2	60284135	NM_025422	5UTR	Liver
chr2	68861595	NM_172856	5UTR	Liver
chr2	69863286	NM_001110145	CDS	Liver
chr2	70825362	NM_172664	5UTR	Liver
chr2	71055503	NM_145524	5UTR	Liver
chr2	73911022	NM_175015	5UTR	Liver
chr2	75662884	NR_033513	ncRNA	Liver
chr2	76675405	NM_031256	5UTR	Liver
chr2	80581048	NM_016965	5UTR	Liver
chr2	84715062	NM_144887	5UTR	Liver
chr2	84773484	NM_009776	CDS	Liver
chr2	85062140	NM_001081260	CDS	Liver
chr2	85063618	NM_001081260	CDS	Liver
chr2	90904835	NM_025991	5UTR	Liver
chr2	90940579	NM_017368	5UTR	Liver
chr2	91265313	NM_023854	5UTR	Liver
chr2	91501107	NM_172668	CDS	Liver
chr2	91628474	NM_010168	CDS	Liver
chr2	91630519	NM_010168	CDS	Liver
chr2	91630692	NM_010168	CDS	Liver
chr2	91636318	NM_010168	CDS	Liver
chr2	94438048	NM_007466	5UTR	Liver
chr2	102400318	NM_020267	CDS	Liver
chr2	103796865	NM_001111292	CDS	Liver
chr2	103797528	NM_001111291	5UTR	Liver
chr2	105904425	NM_023876	CDS	Liver
chr2	109917858	NM_172671	5UTR	Liver
chr2	112367909	NM_026519	5UTR	Liver
chr2	112493116	NM_028844	CDS	Liver
chr2	113832693	NM_181416	3UTR	Liver
chr2	118745898	NM_001301269	5UTR	Liver
chr2	121414104	NM_007952	CDS	Liver
chr2	121457216	NM_026318	CDS	Liver
chr2	122028824	NM_144545	CDS	Liver
chr2	122059514	NM_145531	CDS	Liver
chr2	122147765	NM_009735	CDS	Liver
chr2	122150952	NM_009735	CDS	Liver
chr2	122234905	NM_146126	CDS	Liver
chr2	122702222	NM_011774	CDS	Liver
chr2	125098050	NM_001162418	CDS	Liver
chr2	126553127	NM_011978	5UTR	Liver
chr2	126577918	NM_011978	CDS	Liver
chr2	126707434	NM_019729	5UTR	Liver
chr2	127210756	NM_177214	CDS	Liver
chr2	129630721	NM_007547	3UTR	Liver
chr2	130450432	NM_001163688	5UTR	Liver
chr2	130563888	NM_207207	CDS	Liver
chr2	130664541	NM_029832	CDS	Liver
chr2	130667899	NM_025922	CDS	Liver
chr2	132253040	NM_011045	5UTR	Liver
chr2	143988808	NM_133626	CDS	Liver
chr2	144011119	NM_133626	5UTR	Liver
chr2	148875354	NM_009976	CDS	Liver
chr2	150904588	NM_024465	5UTR	Liver
chr2	152343293	NM_175093	CDS	Liver
chr2	152669669	NM_001159551	CDS	Liver
chr2	152708367	NM_001159551	3UTR	Liver
chr2	153346230	NM_001039939	5UTR	Liver
chr2	153741350	NM_007896	5UTR	Liver
chr2	154657141	NM_029362	5UTR	Liver
chr2	154791455	NM_023130	5UTR	Liver
chr2	155060422	NM_016661	3UTR	Liver
chr2	155068950	NM_016661	CDS	Liver
chr2	155386773	NM_178111	CDS	Liver
chr2	155692225	NM_001163452	CDS	Liver
chr2	155826575	NM_010579	5UTR	Liver
chr2	156111848	NM_170590	5UTR	Liver
chr2	156144523	NM_025946	CDS	Liver
chr2	160366965	NM_010658	5UTR	Liver
chr2	162931644	NM_026499	5UTR	Liver
chr2	162934667	NM_026499	CDS	Liver
chr2	163547289	NM_008261	5UTR	Liver
chr2	163995274	NM_018753	5UTR	Liver
chr2	164424816	NM_011521	3UTR	Liver
chr2	164431271	NM_011521	CDS	Liver
chr2	165430298	NM_054055	CDS	Liver
chr2	166609860	NM_177782	CDS	Liver
chr2	166893573	NM_001085495	CDS	Liver
chr2	166963523	NR_111895	ncRNA	Liver
chr2	167503510	NM_030743	CDS	Liver
chr2	167689145	NM_001287739	5UTR	Liver
chr2	167689883	NM_009883	CDS	Liver
chr2	167932460	NM_011201	5UTR	Liver
chr2	168183255	NM_009628	CDS	Liver
