Chromosome	m1A peak middle position	RefSeq ID	Segment	Cell
chr1	17002	NR_024540	ncRNA	HeLa
chr1	24814	NR_024540	ncRNA	HEPG2_heat_shock_4h
chr1	24827	NR_024540	ncRNA	HeLa
chr1	567748	NR_106781	ncRNA	HEPG2_common_total_RNA
chr1	713825	NR_033908	ncRNA	HEPG2_heat_shock_4h
chr1	713865	NR_033908	ncRNA	HEPG2_common_mRNA
chr1	761909	NR_024321	ncRNA	HEPG2_heat_shock_4h
chr1	761915	NR_024321	ncRNA	HEPG2_Glucose_starv_4h
chr1	762096	NR_024321	ncRNA	HeLa
chr1	762243	NR_024321	ncRNA	HEPG2_common_mRNA
chr1	763062	NR_047524	ncRNA	HEPG2_common_mRNA
chr1	763062	NR_047524	ncRNA	HEPG2_Glucose_starv_4h
chr1	791432	NR_047525	ncRNA	HEPG2_heat_shock_4h
chr1	877573	NM_152486	CDS	HeLa
chr1	877582	NM_152486	CDS	HEPG2_common_total_RNA
chr1	878009	NM_152486	CDS	HeLa
chr1	878071	NM_152486	CDS	HEPG2_common_total_RNA
chr1	878703	NM_152486	CDS	HeLa
chr1	880130	NM_015658	CDS	HEPG2_common_mRNA
chr1	880177	NM_015658	CDS	HeLa
chr1	892585	NM_015658	CDS	HeLa
chr1	894391	NM_015658	CDS	HEPG2_common_mRNA
chr1	896078	NM_198317	CDS	HEPG2_heat_shock_4h
chr1	896084	NM_198317	CDS	HEPG2_common_mRNA
chr1	896086	NM_198317	CDS	HeLa
chr1	910326	NM_032129	3UTR	HEPG2_common_mRNA
chr1	934650	NM_021170	CDS	HEPG2_common_total_RNA
chr1	934693	NM_021170	CDS	HeLa
chr1	934697	NM_001142467	CDS	HEK293
chr1	935169	NM_001142467	CDS	HEK293
chr1	935303	NM_001142467	CDS	HEPG2_common_total_RNA
chr1	935320	NM_021170	CDS	HeLa
chr1	935392	NM_001142467	5UTR	HEK293
chr1	949789	NM_005101	CDS	HeLa
chr1	955633	NM_198576	CDS	HEPG2_common_total_RNA
chr1	955636	NM_198576	CDS	HEPG2_common_mRNA
chr1	955637	NM_198576	CDS	HeLa
chr1	976155	NM_198576	CDS	HEPG2_common_total_RNA
chr1	976683	NM_198576	CDS	HEPG2_common_total_RNA
chr1	976974	NM_198576	CDS	HeLa
chr1	978732	NM_198576	CDS	HeLa
chr1	978737	NM_198576	CDS	HEPG2_common_total_RNA
chr1	978771	NM_198576	CDS	HEK293
chr1	979006	NM_198576	CDS	HEPG2_common_total_RNA
chr1	979318	NM_198576	CDS	HeLa
chr1	979326	NM_198576	CDS	HEPG2_common_total_RNA
chr1	979569	NM_198576	CDS	HeLa
chr1	981605	NM_198576	CDS	HeLa
chr1	981924	NM_198576	CDS	HeLa
chr1	983579	NM_198576	CDS	HeLa
chr1	983609	NM_198576	CDS	HEPG2_common_total_RNA
chr1	985668	NM_198576	CDS	HeLa
chr1	985950	NM_198576	CDS	HeLa
chr1	986975	NM_198576	CDS	HEPG2_common_total_RNA
chr1	987123	NM_198576	CDS	HeLa
chr1	990683	NM_198576	3UTR	HEPG2_common_total_RNA
chr1	1019761	NM_017891	CDS	HEPG2_heat_shock_4h
chr1	1078774	NR_038869	ncRNA	HEK293
chr1	1158683	NM_016176	CDS	HeLa
chr1	1158683	NM_016547	CDS	HEPG2_common_total_RNA
chr1	1164303	NM_016176	5UTR	HeLa
chr1	1167319	NM_016176	5UTR	HEPG2_heat_shock_4h
chr1	1167320	NM_016176	5UTR	HEPG2_common_mRNA
chr1	1167322	NM_016176	5UTR	HEPG2_Glucose_starv_4h
chr1	1169770	NM_080605	3UTR	HEPG2_common_mRNA
chr1	1179830	NM_001014980	CDS	HEPG2_heat_shock_4h
chr1	1209099	NM_058167	5UTR	HeLa
chr1	1209121	NM_058167	5UTR	HEPG2_common_mRNA
chr1	1209130	NM_058167	5UTR	HEPG2_common_total_RNA
chr1	1227894	NM_030649	3UTR	HEPG2_common_mRNA
chr1	1229541	NM_030649	CDS	HEPG2_common_mRNA
chr1	1229902	NM_030649	CDS	HeLa
chr1	1239508	NM_030649	CDS	HEPG2_common_total_RNA
chr1	1243181	NM_030649	CDS	HEPG2_common_mRNA
chr1	1243188	NM_030649	CDS	HEPG2_Glucose_starv_4h
chr1	1243189	NM_030649	CDS	HeLa
chr1	1243210	NM_030649	5UTR	HEPG2_heat_shock_4h
chr1	1243217	NM_030649	5UTR	HEPG2_common_total_RNA
chr1	1244086	NM_153339	CDS	HEPG2_common_mRNA
chr1	1254877	NM_017871	CDS	HEPG2_common_mRNA
chr1	1254877	NM_017871	CDS	HEPG2_heat_shock_4h
chr1	1256384	NM_017871	CDS	HeLa
chr1	1256397	NM_017871	CDS	HEPG2_Glucose_starv_4h
chr1	1256425	NM_017871	CDS	HEPG2_common_total_RNA
chr1	1259995	NM_001256456	5UTR	HEPG2_heat_shock_4h
chr1	1259998	NM_001256456	5UTR	HEPG2_common_mRNA
chr1	1260000	NM_001256456	5UTR	HEPG2_Glucose_starv_4h
chr1	1271780	NM_004421	CDS	HeLa
chr1	1271797	NM_004421	CDS	HEPG2_common_mRNA
chr1	1273467	NM_004421	CDS	HeLa
chr1	1273467	NM_004421	CDS	HEPG2_common_mRNA
chr1	1274781	NM_004421	CDS	HeLa
chr1	1277179	NM_004421	CDS	HeLa
chr1	1277832	NM_004421	CDS	HEPG2_common_mRNA
chr1	1284352	NM_004421	CDS	HEPG2_heat_shock_4h
chr1	1284353	NM_004421	CDS	HeLa
chr1	1284385	NM_004421	CDS	HEPG2_common_total_RNA
chr1	1284392	NM_004421	CDS	HEPG2_Glucose_starv_4h
chr1	1284395	NM_004421	CDS	HEK293
chr1	1290914	NM_001282582	CDS	HEPG2_Glucose_starv_4h
chr1	1309217	NM_001127230	CDS	HeLa
chr1	1310444	NM_001127229	5UTR	HEPG2_common_mRNA
chr1	1310448	NM_001127229	5UTR	HEK293
chr1	1310459	NM_001127229	5UTR	HEPG2_common_total_RNA
chr1	1310473	NM_001127230	5UTR	HeLa
chr1	1322697	NM_030937	CDS	HeLa
chr1	1323356	NM_030937	CDS	HeLa
chr1	1334631	NM_030937	CDS	HEPG2_common_mRNA
chr1	1334633	NM_030937	CDS	HeLa
chr1	1334989	NR_015434	ncRNA	HEPG2_common_mRNA
chr1	1335021	NR_015434	ncRNA	HeLa
chr1	1342591	NM_017971	CDS	HeLa
chr1	1342594	NM_017971	CDS	HEPG2_common_mRNA
chr1	1407291	NM_031921	CDS	HEPG2_common_total_RNA
chr1	1407320	NM_031921	CDS	HEPG2_common_mRNA
chr1	1407325	NM_031921	CDS	HeLa
chr1	1407369	NM_031921	CDS	HEK293
chr1	1416264	NM_031921	CDS	HeLa
chr1	1447678	NM_001170535	CDS	HEPG2_common_total_RNA
chr1	1447699	NM_001170535	CDS	HEPG2_common_mRNA
chr1	1447701	NM_001170535	CDS	HeLa
chr1	1447702	NM_001170535	CDS	HEPG2_heat_shock_4h
chr1	1447704	NM_018188	CDS	HEK293
chr1	1454318	NM_001170535	CDS	HeLa
chr1	1464672	NM_001170535	CDS	HeLa
chr1	1469925	NM_001170535	3UTR	HeLa
chr1	1509928	NM_014188	CDS	HeLa
chr1	1509938	NM_014188	CDS	HEPG2_common_total_RNA
chr1	1510143	NM_014188	5UTR	HEPG2_common_total_RNA
chr1	1533541	NM_001242659	3UTR	HeLa
chr1	1534732	NM_001242659	CDS	HeLa
chr1	1535314	NM_001242659	CDS	HeLa
chr1	1550932	NM_080875	CDS	HEPG2_Glucose_starv_4h
chr1	1550948	NM_080875	CDS	HEPG2_common_mRNA
chr1	1550952	NM_080875	CDS	HEPG2_heat_shock_4h
chr1	1551343	NM_001170689	5UTR	HEK293
chr1	1551372	NM_001170689	5UTR	HEPG2_heat_shock_4h
chr1	1551373	NM_001170689	5UTR	HeLa
chr1	1551393	NM_001170689	5UTR	HEPG2_common_total_RNA
chr1	1551426	NM_001170689	5UTR	HEPG2_common_mRNA
chr1	1551426	NM_001170689	5UTR	HEPG2_Glucose_starv_4h
chr1	1558841	NM_080875	CDS	HEPG2_common_total_RNA
chr1	1558909	NM_001170689	CDS	HeLa
chr1	1558925	NM_080875	CDS	HEPG2_common_mRNA
chr1	1560231	NM_001170689	CDS	HEPG2_common_mRNA
chr1	1560244	NR_033183	ncRNA	HEPG2_common_total_RNA
chr1	1560469	NM_080875	CDS	HEPG2_common_mRNA
chr1	1560472	NM_080875	CDS	HEPG2_heat_shock_4h
chr1	1560754	NM_001170689	CDS	HEPG2_common_mRNA
chr1	1562083	NM_001170689	CDS	HEPG2_common_mRNA
chr1	1562103	NM_001170689	CDS	HeLa
chr1	1562289	NM_001170689	CDS	HeLa
chr1	1562304	NM_001170689	CDS	HEPG2_common_mRNA
chr1	1565821	NM_001170689	3UTR	HEPG2_common_mRNA
chr1	1565822	NM_001170689	3UTR	HeLa
chr1	1573191	NM_033489	CDS	HEPG2_common_mRNA
chr1	1575748	NM_033489	CDS	HEPG2_common_mRNA
chr1	1576449	NM_033489	CDS	HEPG2_Glucose_starv_4h
chr1	1577268	NM_033489	CDS	HeLa
chr1	1577270	NM_033489	CDS	HEPG2_common_mRNA
chr1	1593905	NM_001110781	3UTR	HeLa
chr1	1593916	NM_001110781	3UTR	HEPG2_common_total_RNA
chr1	1596025	NM_001110781	3UTR	HEK293
chr1	1596035	NM_001110781	3UTR	HEPG2_common_total_RNA
chr1	1596052	NM_001110781	3UTR	HEPG2_common_mRNA
chr1	1596068	NM_001110781	3UTR	HeLa
chr1	1636404	NM_033529	CDS	HEPG2_common_mRNA
chr1	1638963	NM_033529	CDS	HEPG2_common_mRNA
chr1	1639659	NM_033529	CDS	HEPG2_Glucose_starv_4h
chr1	1639659	NM_033529	CDS	HEPG2_heat_shock_4h
chr1	1640478	NM_033529	CDS	HeLa
chr1	1640480	NM_033529	CDS	HEPG2_common_mRNA
chr1	1643778	NM_033489	CDS	HeLa
chr1	1647792	NM_033489	CDS	HEPG2_common_mRNA
chr1	1653101	NM_033489	CDS	HEPG2_common_mRNA
chr1	1653124	NM_033489	CDS	HEPG2_Glucose_starv_4h
chr1	1654202	NM_033489	5UTR	HEPG2_Glucose_starv_4h
chr1	1654214	NM_033489	5UTR	HEPG2_common_mRNA
chr1	1655726	NM_033529	5UTR	HEPG2_heat_shock_4h
chr1	1661928	NM_182838	3UTR	HEPG2_common_mRNA
chr1	1661949	NM_182838	3UTR	HEPG2_common_total_RNA
chr1	1684375	NM_023018	CDS	HeLa
chr1	1688698	NM_023018	CDS	HeLa
chr1	1709802	NM_023018	5UTR	HeLa
chr1	1709802	NM_023018	5UTR	HEPG2_common_mRNA
chr1	1709816	NM_023018	5UTR	HEPG2_heat_shock_4h
chr1	1717030	NM_002074	3UTR	HeLa
chr1	1747249	NM_002074	CDS	HeLa
chr1	1822367	NM_002074	5UTR	HeLa
chr1	1822371	NM_002074	5UTR	HEPG2_common_total_RNA
chr1	1822383	NM_002074	5UTR	HEPG2_common_mRNA
chr1	1822389	NM_002074	5UTR	HEK293
chr1	1982044	NM_002744	5UTR	HEPG2_common_mRNA
chr1	1982046	NM_002744	5UTR	HeLa
chr1	2121103	NR_046427	ncRNA	HEPG2_common_mRNA
chr1	2124365	NM_001256946	CDS	HEPG2_common_mRNA
chr1	2125114	NM_182533	CDS	HeLa
chr1	2125216	NM_182533	CDS	HEPG2_common_mRNA
chr1	2125224	NM_001282671	5UTR	HEPG2_common_total_RNA
chr1	2125512	NM_182533	CDS	HEPG2_common_mRNA
chr1	2126157	NM_182533	CDS	HEPG2_Glucose_starv_4h
chr1	2126160	NM_001282671	5UTR	HEPG2_heat_shock_4h
chr1	2160354	NM_003036	CDS	HeLa
chr1	2160383	NM_003036	CDS	HEPG2_Glucose_starv_4h
chr1	2160417	NM_003036	CDS	HEPG2_common_mRNA
chr1	2234785	NM_003036	CDS	HEPG2_common_mRNA
chr1	2235405	NM_003036	CDS	HeLa
chr1	2235415	NM_003036	CDS	HEPG2_common_mRNA
chr1	2237601	NM_003036	CDS	HeLa
chr1	2238825	NM_003036	3UTR	HeLa
chr1	2290128	NM_001301060	CDS	HEPG2_heat_shock_4h
chr1	2316430	NM_001301060	CDS	HEPG2_heat_shock_4h
chr1	2316462	NM_001301060	CDS	HEPG2_common_mRNA
chr1	2317248	NM_024848	CDS	HeLa
chr1	2319680	NM_001301060	CDS	HEPG2_heat_shock_4h
chr1	2319733	NM_001301060	CDS	HEPG2_common_mRNA
chr1	2319754	NM_024848	CDS	HeLa
chr1	2322931	NR_125361	ncRNA	HEPG2_heat_shock_4h
chr1	2322937	NM_024848	CDS	HeLa
chr1	2322939	NR_125361	ncRNA	HEPG2_Glucose_starv_4h
chr1	2323039	NR_125361	ncRNA	HEPG2_common_mRNA
chr1	2323345	NM_007033	5UTR	HeLa
chr1	2323346	NM_007033	5UTR	HEPG2_heat_shock_4h
chr1	2323347	NM_007033	5UTR	HEPG2_common_mRNA
chr1	2334891	NM_007033	3UTR	HeLa
chr1	2341852	NM_002617	CDS	HEPG2_heat_shock_4h
chr1	2341878	NM_002617	CDS	HeLa
chr1	2343865	NM_002617	CDS	HEPG2_common_mRNA
chr1	2457955	NM_018216	CDS	HeLa
chr1	2457959	NM_018216	CDS	HEPG2_common_mRNA
chr1	2457960	NM_018216	CDS	HEPG2_Glucose_starv_4h
chr1	2518313	NM_001195738	CDS	HEPG2_Glucose_starv_4h
chr1	2518318	NM_152371	CDS	HeLa
chr1	2518323	NM_001195738	CDS	HEPG2_common_mRNA
chr1	2518536	NM_152371	CDS	HEPG2_heat_shock_4h
chr1	3371260	NM_014448	5UTR	HeLa
chr1	3371273	NM_014448	5UTR	HEPG2_heat_shock_4h
chr1	3371279	NM_014448	5UTR	HEPG2_common_mRNA
chr1	3371316	NM_014448	5UTR	HEPG2_common_total_RNA
chr1	3541657	NM_182752	CDS	HEPG2_heat_shock_4h
chr1	3541658	NM_182752	CDS	HEPG2_Glucose_starv_4h
chr1	3541665	NM_182752	CDS	HeLa
chr1	3541707	NM_182752	CDS	HEPG2_common_mRNA
chr1	3542012	NM_182752	CDS	HEPG2_heat_shock_4h
chr1	3542036	NM_182752	CDS	HeLa
chr1	3654655	NR_033711	ncRNA	HEPG2_Glucose_starv_4h
chr1	3654657	NR_033711	ncRNA	HEPG2_heat_shock_4h
chr1	3654749	NR_033711	ncRNA	HEPG2_common_mRNA
chr1	3655971	NR_033711	ncRNA	HEPG2_common_total_RNA
chr1	3656276	NR_033711	ncRNA	HeLa
chr1	3656299	NR_033711	ncRNA	HEK293
chr1	3656573	NR_033711	ncRNA	HEPG2_common_total_RNA
chr1	3703635	NM_020710	CDS	HeLa
chr1	3703661	NM_020710	CDS	HEK293
chr1	3703666	NM_020710	CDS	HEPG2_common_mRNA
chr1	3712571	NM_020710	CDS	HeLa
chr1	3712573	NM_020710	CDS	HEK293
chr1	3712600	NM_020710	CDS	HEPG2_common_mRNA
chr1	3712955	NM_020710	CDS	HeLa
chr1	3712956	NM_020710	CDS	HEPG2_common_mRNA
chr1	3712957	NM_020710	CDS	HEPG2_Glucose_starv_4h
chr1	3712959	NM_020710	CDS	HEPG2_heat_shock_4h
chr1	3712968	NM_020710	CDS	HEPG2_common_total_RNA
chr1	3712985	NM_020710	CDS	HEK293
chr1	3768959	NM_014704	CDS	HEPG2_heat_shock_4h
chr1	3773563	NM_014704	5UTR	HEPG2_common_mRNA
chr1	3773622	NM_014704	5UTR	HeLa
chr1	3773629	NM_014704	5UTR	HEPG2_heat_shock_4h
chr1	3816770	NM_207356	5UTR	HEPG2_common_mRNA
chr1	6052794	NM_001199861	5UTR	HEPG2_common_mRNA
chr1	6052796	NM_001199861	5UTR	HEPG2_Glucose_starv_4h
chr1	6253105	NM_000983	CDS	HeLa
chr1	6309696	NM_207370	CDS	HeLa
chr1	6320958	NM_207370	5UTR	HeLa
chr1	6409882	NM_181866	CDS	HEPG2_common_mRNA
chr1	6409883	NM_181866	CDS	HeLa
chr1	6453423	NM_007274	CDS	HEPG2_common_mRNA
chr1	6453562	NM_007274	5UTR	HEPG2_Glucose_starv_4h
chr1	6453687	NM_007274	5UTR	HEPG2_heat_shock_4h
chr1	6453691	NM_007274	5UTR	HEPG2_common_mRNA
chr1	6488387	NM_031475	CDS	HEPG2_heat_shock_4h
chr1	6517287	NM_031475	CDS	HEPG2_heat_shock_4h
chr1	6520103	NM_031475	CDS	HEPG2_heat_shock_4h
chr1	6529211	NM_001042663	CDS	HEPG2_common_mRNA
chr1	6532650	NM_001042663	CDS	HEPG2_common_mRNA
chr1	6532654	NM_001042663	CDS	HEPG2_Glucose_starv_4h
chr1	6535568	NM_001042663	CDS	HEPG2_Glucose_starv_4h
chr1	6614383	NM_024654	CDS	HEPG2_common_total_RNA
chr1	6673913	NM_153812	5UTR	HEPG2_heat_shock_4h
chr1	6673985	NM_153812	5UTR	HeLa
chr1	6673991	NM_153812	5UTR	HEPG2_Glucose_starv_4h
chr1	6673997	NM_153812	5UTR	HEPG2_common_mRNA
chr1	6674007	NM_153812	5UTR	HEPG2_common_total_RNA
chr1	6685304	NM_001195753	CDS	HEPG2_common_mRNA
chr1	6727827	NM_018198	CDS	HeLa
chr1	6727861	NM_018198	CDS	HEPG2_common_mRNA
chr1	6741069	NM_018198	CDS	HEPG2_heat_shock_4h
chr1	6741076	NM_018198	CDS	HEPG2_common_mRNA
chr1	6761790	NM_018198	CDS	HeLa
