chr	position	gene	segment	strain and medium
I	67185	SPAC977.17	CDS	WT_Sp1_EMM-N_medium_4h
I	67206	SPAC977.17	CDS	WT_Sp1_vegetative
I	67849	SPAC977.17	CDS	WT_Sp1_EMM-N_medium_4h
I	111701	SPAC11D3.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	169485	SPAC5H10.13c	CDS	WT_Sp1_vegetative
I	184104	SPAC13G6.06c	CDS	WT_Sp1_vegetative
I	185353	SPAC13G6.06c	CDS	WT_Sp1_vegetative
I	211836	SPAC24B11.08c	3UTR	WT_Sp1_vegetative
I	211849	SPAC24B11.08c	3UTR	WT_Sp1_EMM-N_medium_4h
I	213101	SPAC24B11.08c	CDS	WT_Sp1_EMM-N_medium_4h
I	213101	SPAC24B11.08c	CDS	WT_Sp1_vegetative
I	216727	SPAC24B11.09	CDS	WT_Sp1_vegetative
I	216732	SPAC24B11.09	CDS	WT_Sp1_EMM-N_medium_4h
I	220114	SPAC24B11.10c	CDS	WT_Sp1_vegetative
I	222525	SPAC24B11.11c	CDS	WT_Sp1_EMM-N_medium_4h
I	228088	SPAC24B11.12c	CDS	WT_Sp1_vegetative
I	228089	SPAC24B11.12c	CDS	WT_Sp1_EMM-N_medium_4h
I	228809	SPAC24B11.12c	5UTR	WT_Sp1_vegetative
I	228819	SPAC24B11.12c	5UTR	WT_Sp1_EMM-N_medium_4h
I	247010	SPAC806.06c	5UTR	WT_Sp1_EMM-N_medium_4h
I	253924	SPAC1639.01c	5UTR	WT_Sp1_EMM-N_medium_4h
I	258006	SPAC1639.02c	CDS	WT_Sp1_EMM-N_medium_4h
I	258025	SPAC1639.02c	CDS	WT_Sp1_vegetative
I	279086	SPAC1F5.06	CDS	WT_Sp1_EMM-N_medium_4h
I	321293	SPAC12G12.14c	CDS	WT_Sp1_EMM-N_medium_4h
I	334690	SPAC12G12.07c	CDS	WT_Sp1_EMM-N_medium_4h
I	335014	SPAC12G12.07c	CDS	WT_Sp1_EMM-N_medium_4h
I	345070	SPAC12G12.03	CDS	WT_Sp1_EMM-N_medium_4h
I	370064	SPAC630.13c	CDS	WT_Sp1_EMM-N_medium_4h
I	379777	SPAC1751.01c	CDS	WT_Sp1_vegetative
I	379783	SPAC1751.01c	CDS	WT_Sp1_EMM-N_medium_4h
I	417442	SPAC31A2.14	CDS	WT_Sp1_vegetative
I	417489	SPAC31A2.14	CDS	WT_Sp1_EMM-N_medium_4h
I	418134	SPAC31A2.15c	3UTR	WT_Sp1_EMM-N_medium_4h
I	418167	SPAC31A2.15c	3UTR	WT_Sp1_vegetative
I	438205	SPAC13C5.07	CDS	WT_Sp1_EMM-N_medium_4h
I	447219	SPAC23E2.02	CDS	WT_Sp1_vegetative
I	447241	SPAC23E2.02	CDS	WT_Sp1_EMM-N_medium_4h
I	451978	SPAC23E2.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	452031	SPAC23E2.03c	CDS	WT_Sp1_vegetative
I	459645	SPAC24H6.13	CDS	WT_Sp1_vegetative
I	467627	SPNCRNA.652	3UTR	WT_Sp1_EMM-N_medium_4h
I	467648	SPNCRNA.652	3UTR	WT_Sp1_vegetative
I	472420	SPAC24H6.09	CDS	WT_Sp1_EMM-N_medium_4h
I	474703	SPAC24H6.08	5UTR	WT_Sp1_EMM-N_medium_4h
I	481194	SPAC24H6.05	CDS	WT_Sp1_EMM-N_medium_4h
I	481201	SPAC24H6.05	CDS	WT_Sp1_vegetative
I	493836	SPAPB21F2.02	CDS	WT_Sp1_EMM-N_medium_4h
I	506603	SPAC227.06	CDS	WT_Sp1_EMM-N_medium_4h
I	518338	SPAC227.13c	CDS	WT_Sp1_vegetative
I	523557	SPAC227.15	CDS	WT_Sp1_EMM-N_medium_4h
I	523559	SPAC227.15	CDS	WT_Sp1_vegetative
I	523941	SPAC227.15	CDS	WT_Sp1_EMM-N_medium_4h
I	523941	SPAC227.15	CDS	WT_Sp1_vegetative
I	524785	SPAC227.15	CDS	WT_Sp1_EMM-N_medium_4h
I	524788	SPAC227.15	CDS	WT_Sp1_vegetative
I	530591	SPAC227.18	CDS	WT_Sp1_EMM-N_medium_4h
I	534825	SPAC2F7.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	536326	SPAC2F7.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	536750	SPAC2F7.03c	CDS	WT_Sp1_vegetative
I	536784	SPAC2F7.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	537424	SPAC2F7.03c	CDS	WT_Sp1_EMM-N_medium_4h
I	541489	SPAC2F7.05c	5UTR	WT_Sp1_vegetative
I	541509	SPAC2F7.05c	5UTR	WT_Sp1_EMM-N_medium_4h
I	547251	SPAC2F7.08c	CDS	WT_Sp1_EMM-N_medium_4h
I	556782	SPAC2F7.11	CDS	WT_Sp1_vegetative
I	556790	SPAC2F7.11	CDS	WT_Sp1_EMM-N_medium_4h
I	590312	SPAC3H8.02	3UTR	WT_Sp1_EMM-N_medium_4h
I	590316	SPAC3H8.02	3UTR	WT_Sp1_vegetative
I	599283	SPNCRNA.665	3UTR	WT_Sp1_EMM-N_medium_4h
I	599337	SPNCRNA.665	3UTR	WT_Sp1_vegetative
I	600001	SPAC3H8.06	CDS	WT_Sp1_EMM-N_medium_4h
I	600008	SPAC3H8.06	CDS	WT_Sp1_vegetative
I	609042	SPAC3H8.10	CDS	WT_Sp1_EMM-N_medium_4h
I	609057	SPAC3H8.10	CDS	WT_Sp1_vegetative
I	624665	SPAC1F3.05	CDS	WT_Sp1_EMM-N_medium_4h
I	624673	SPAC1F3.05	CDS	WT_Sp1_vegetative
I	632243	SPAC1F3.07c	CDS	WT_Sp1_EMM-N_medium_4h
I	632253	SPAC1F3.07c	CDS	WT_Sp1_vegetative
I	636030	SPAC1F3.10c	3UTR	WT_Sp1_EMM-N_medium_4h
I	636062	SPAC1F3.10c	3UTR	WT_Sp1_vegetative
